Summary of the training: 
(' ave_R ', 202.46, ' std_R ', 167.05, ' min_R ', -2.79, ' max_R ', 880.41, ' times ', 14789736, ' epi', 9700, ' clock ', 9.06, ' min')
(' ave_R ', 199.91, ' std_R ', 170.22, ' min_R ', -7.29, ' max_R ', 880.41, ' times ', 15010730, ' epi', 9800, ' clock ', 9.19, ' min')
(' ave_R ', 204.69, ' std_R ', 176.61, ' min_R ', -7.29, ' max_R ', 880.41, ' times ', 15273664, ' epi', 9900, ' clock ', 9.33, ' min')
(' ave_R ', 201.29, ' std_R ', 180.76, ' min_R ', -7.29, ' max_R ', 880.41, ' times ', 15469994, ' epi', 10000, ' clock ', 9.44, ' min')
(' ave_R ', 185.15, ' std_R ', 164.58, ' min_R ', -7.29, ' max_R ', 690.82, ' times ', 15692966, ' epi', 10100, ' clock ', 9.56, ' min')
(' ave_R ', 185.77, ' std_R ', 164.0, ' min_R ', -7.29, ' max_R ', 690.82, ' times ', 15903594, ' epi', 10200, ' clock ', 9.69, ' min')
(' ave_R ', 183.45, ' std_R ', 167.2, ' min_R ', -7.29, ' max_R ', 755.6, ' times ', 16155831, ' epi', 10300, ' clock ', 9.82, ' min')
(' ave_R ', 192.27, ' std_R ', 175.41, ' min_R ', -7.29, ' max_R ', 755.6, ' times ', 16394434, ' epi', 10400, ' clock ', 9.96, ' min')
(' ave_R ', 186.98, ' std_R ', 174.36, ' min_R ', -7.29, ' max_R ', 755.6, ' times ', 16604789, ' epi', 10500, ' clock ', 10.08, ' min')
(' ave_R ', 172.63, ' std_R ', 167.11, ' min_R ', -7.29, ' max_R ', 755.6, ' times ', 16798499, ' epi', 10600, ' clock ', 10.2, ' min')
(' ave_R ', 180.05, ' std_R ', 169.97, ' min_R ', -7.29, ' max_R ', 755.6, ' times ', 17016300, ' epi', 10700, ' clock ', 10.32, ' min')
(' ave_R ', 179.92, ' std_R ', 168.1, ' min_R ', -0.66, ' max_R ', 755.6, ' times ', 17240151, ' epi', 10800, ' clock ', 10.44, ' min')
(' ave_R ', 168.43, ' std_R ', 158.8, ' min_R ', -0.66, ' max_R ', 755.6, ' times ', 17465367, ' epi', 10900, ' clock ', 10.57, ' min')
(' ave_R ', 172.52, ' std_R ', 152.71, ' min_R ', -0.66, ' max_R ', 755.6, ' times ', 17691772, ' epi', 11000, ' clock ', 10.69, ' min')
(' ave_R ', 191.85, ' std_R ', 163.23, ' min_R ', -0.66, ' max_R ', 755.6, ' times ', 17933388, ' epi', 11100, ' clock ', 10.82, ' min')
(' ave_R ', 197.79, ' std_R ', 176.34, ' min_R ', -0.66, ' max_R ', 799.18, ' times ', 18105809, ' epi', 11200, ' clock ', 10.94, ' min')
(' ave_R ', 204.72, ' std_R ', 191.11, ' min_R ', -0.66, ' max_R ', 1030.44, ' times ', 18291759, ' epi', 11300, ' clock ', 11.06, ' min')
(' ave_R ', 197.16, ' std_R ', 187.06, ' min_R ', -0.66, ' max_R ', 1030.44, ' times ', 18490030, ' epi', 11400, ' clock ', 11.19, ' min')
(' ave_R ', 193.01, ' std_R ', 185.41, ' min_R ', -0.64, ' max_R ', 1030.44, ' times ', 18661033, ' epi', 11500, ' clock ', 11.31, ' min')
(' ave_R ', 191.28, ' std_R ', 187.24, ' min_R ', -0.64, ' max_R ', 1030.44, ' times ', 18875575, ' epi', 11600, ' clock ', 11.43, ' min')
(' ave_R ', 181.86, ' std_R ', 182.71, ' min_R ', -0.64, ' max_R ', 1030.44, ' times ', 19062261, ' epi', 11700, ' clock ', 11.55, ' min')
(' ave_R ', 199.27, ' std_R ', 201.78, ' min_R ', -0.65, ' max_R ', 1259.16, ' times ', 19298024, ' epi', 11800, ' clock ', 11.69, ' min')
(' ave_R ', 207.35, ' std_R ', 208.05, ' min_R ', -0.65, ' max_R ', 1259.16, ' times ', 19529015, ' epi', 11900, ' clock ', 11.83, ' min')
(' ave_R ', 209.48, ' std_R ', 211.62, ' min_R ', -0.65, ' max_R ', 1259.16, ' times ', 19756119, ' epi', 12000, ' clock ', 11.96, ' min')
(' ave_R ', 203.16, ' std_R ', 213.17, ' min_R ', -0.65, ' max_R ', 1259.16, ' times ', 19998887, ' epi', 12100, ' clock ', 12.09, ' min')
(' ave_R ', 200.84, ' std_R ', 202.26, ' min_R ', -0.65, ' max_R ', 1259.16, ' times ', 20230741, ' epi', 12200, ' clock ', 12.23, ' min')
(' ave_R ', 195.92, ' std_R ', 187.43, ' min_R ', -8.01, ' max_R ', 1259.16, ' times ', 20471947, ' epi', 12300, ' clock ', 12.37, ' min')
(' ave_R ', 191.27, ' std_R ', 182.35, ' min_R ', -8.01, ' max_R ', 1259.16, ' times ', 20697320, ' epi', 12400, ' clock ', 12.49, ' min')
(' ave_R ', 214.11, ' std_R ', 203.24, ' min_R ', -8.01, ' max_R ', 1259.16, ' times ', 20936221, ' epi', 12500, ' clock ', 12.63, ' min')
(' ave_R ', 218.59, ' std_R ', 202.41, ' min_R ', -8.01, ' max_R ', 1259.16, ' times ', 21186568, ' epi', 12600, ' clock ', 12.77, ' min')
(' ave_R ', 219.54, ' std_R ', 201.41, ' min_R ', -8.01, ' max_R ', 1259.16, ' times ', 21357711, ' epi', 12700, ' clock ', 12.89, ' min')
(' ave_R ', 207.77, ' std_R ', 186.78, ' min_R ', -8.01, ' max_R ', 1147.37, ' times ', 21606686, ' epi', 12800, ' clock ', 13.02, ' min')
